Condition,Electrode,ITPC
GN,1,"[0.043753268272503504, 0.03943862069502988, 0.07403735016792044, 0.057449924941817325, 0.024623932742105864, 0.044329760500308624, 0.056183430884748246, 0.01452229820912803, 0.04913576287941786, 0.07908266147384896, 0.06960821417607593, 0.057488250847296744, 0.024007624279936274, 0.036872800514981374, 0.05230132293463791, 0.0725173742526149, 0.034766461872437954, 0.02253102165607696, 0.08851659419038803, 0.061939378827669055, 0.013110190021257578, 0.04392610957501842, 0.06561988282992633, 0.03343553071914317, 0.04966364626502765, 0.05358496347785247, 0.05240572541345247, 0.042991587086610085, 0.025752548175915234, 0.02790606817177789, 0.09017286979334148, 0.04692718233345734, 0.03289985486165258, 0.018908995136786757, 0.05840930838377825, 0.014625009825332618, 0.022264686137280082, 0.059532171761500864, 0.07240212319055735, 0.05342655311836236, 0.02372983358024976, 0.012356973045865525, 0.0052254597806069844, 0.007389489698746378, 0.08110819391526951, 0.05551514444024726, 0.018290939855207477, 0.060981558226455596, 0.05131659434100618, 0.07346072134224946, 0.010342457877332217, 0.015790594820985993, 0.08118576329592327, 0.03690391591441261, 0.019069255777999845, 0.0733489238107821, 0.03970746349187963]"
GN,2,"[0.034285712119744904, 0.029938858052370492, 0.06979263835919561, 0.03541843709042937, 0.01064940583907051, 0.07521993357554203, 0.09920252761095576, 0.05008226362367799, 0.07378767796901038, 0.0671954273237015, 0.056758420049853826, 0.045038580553610104, 0.028336752481882454, 0.012542231139306144, 0.04747527236912822, 0.06628262420423277, 0.06838603608883664, 0.03628644927152324, 0.08501131270562899, 0.06276736314838763, 0.049760031623003784, 0.05977229791404902, 0.0466389752407441, 0.01896436758052484, 0.046419719145590094, 0.05100589535537997, 0.05611917857394498, 0.04138935336534024, 0.025460799822507582, 0.03729399608684754, 0.08917067617365668, 0.07561962739490906, 0.02931563065755851, 0.01586542829894746, 0.027007804887931305, 0.03589808167392232, 0.04079690466866178, 0.036126277460940846, 0.06162230818551974, 0.06279642683021538, 0.022373037717080647, 0.029472670424569667, 0.03779658315523663, 0.0264318794996695, 0.0783208834855246, 0.05426441248656337, 0.0069359659890064485, 0.0662114174844664, 0.046101540782509866, 0.04171418534420464, 0.02002049375235405, 0.04371876802740744, 0.06572414572809102, 0.025909406779922425, 0.031539055608297686, 0.08210058825846739, 0.0382018535054936]"
GN,3,"[0.03718083439857805, 0.04183493812731809, 0.024603029547157634, 0.02475145654095498, 0.05959020615989617, 0.01673486862563398, 0.028527949137963454, 0.02349095285001354, 0.06360201721627755, 0.06873514186662283, 0.0662751849051016, 0.07138234540360032, 0.013324393490781239, 0.04614132234589441, 0.025997628789449896, 0.044756830438440344, 0.028253417672767824, 0.0422505748978798, 0.05994985183896159, 0.019630815438139097, 0.028071644134718094, 0.033266250965316005, 0.019988814264597844, 0.017051168721818843, 0.03762043442776775, 0.07189071584190364, 0.0842466443191591, 0.03361527707195624, 0.012730504716214945, 0.010563060925292479, 0.012316237445338963, 0.013599330539383673, 0.0305523425489465, 0.03475489223804933, 0.042900917905956334, 0.025734853338422334, 0.018919153356582532, 0.045489985625597584, 0.0495659450074704, 0.06106550628757402, 0.03606415515026485, 0.042186226771618825, 0.025788461613935405, 0.1087478258069051, 0.11943468256381096, 0.06047118397934763, 0.016983180454884575, 0.05682018103892894, 0.10428535782214324, 0.06565358326359348, 0.015159418589155631, 0.017305826245296627, 0.017450163051497977, 0.01501419276923969, 0.02055885811077585, 0.04793509526668136, 0.031548347848949866]"
GN,4,"[0.03362897340762754, 0.04820616302945489, 0.03751672629998186, 0.03355188731459447, 0.01984057212983992, 0.042899393250342005, 0.07009913106410064, 0.052525311411376945, 0.040012060636519436, 0.06867965177350341, 0.092031904407079, 0.036004150277312706, 0.016428488581837247, 0.03850667244008016, 0.01580876051143244, 0.060517615263777504, 0.02713036082847536, 0.025307561163640722, 0.060695909430179384, 0.08288810037198326, 0.04122480993338497, 0.05455862631212888, 0.0419731782682245, 0.020689892562412257, 0.04468434134484953, 0.05856026173595685, 0.07312019927450923, 0.032862216244659, 0.020132325668389205, 0.01536650029448482, 0.0637268141279203, 0.0687315103181926, 0.02778188411031943, 0.027973930793276845, 0.03549337069451729, 0.034232921429685294, 0.0407768183803802, 0.02828627618011232, 0.046264929516422935, 0.02325410057524654, 0.008677365372430757, 0.038218922998457375, 0.08513892934756351, 0.1345089521294088, 0.07247045279296471, 0.04338771979637443, 0.013690742591076716, 0.03582983549481536, 0.05024645667251151, 0.05530815404738688, 0.03536240459580288, 0.024449914132457944, 0.03741350150369561, 0.029911587519654347, 0.012326718315793241, 0.06548458715230894, 0.027781031668625486]"
GN,5,"[0.06934821748036252, 0.07277793806896254, 0.04614369942991064, 0.027272847885540488, 0.015371510397443536, 0.015097322431561727, 0.08885942700261447, 0.07591856877823426, 0.036348630762257576, 0.05737126760254252, 0.10560881369736742, 0.043516784530360904, 0.032257165204552886, 0.02046553214760442, 0.023544595038837348, 0.030653150022067418, 0.02551914487794632, 0.013032204914016084, 0.08964095046709494, 0.09219683059166735, 0.08950924604773555, 0.05897666650696756, 0.009489949769173382, 0.027294621360480272, 0.023508456423310058, 0.060509174189470966, 0.05374299692056354, 0.046776469241760155, 0.07152772929563207, 0.03148679663712141, 0.06737918961432408, 0.07853458511597299, 0.0494385703652631, 0.023832411378264758, 0.03616546983399956, 0.06964009895441, 0.05168005415064422, 0.02336727269330934, 0.031281214051138866, 0.012504071578111224, 0.016960355902509078, 0.032990593786083114, 0.1680551238552545, 0.24144098060127006, 0.1682475149877658, 0.022397510776312128, 0.011187865509579743, 0.04385221879934374, 0.042859405147759336, 0.0312987367942464, 0.05014084963412495, 0.018033356715410082, 0.03385013094436861, 0.012573760826006343, 0.04089677250371534, 0.10595857030057186, 0.05590493121786804]"
GN,6,"[0.05819842039777201, 0.040534990247715875, 0.039293174434831546, 0.0391898981783071, 0.01916422511751244, 0.0503217986777845, 0.12460291100660849, 0.09852756812738576, 0.08187882348363616, 0.06749926715720893, 0.09399317461773889, 0.047852367002294824, 0.037166399281134396, 0.032817967847607696, 0.01966445115731645, 0.035994849275626524, 0.0147902316732819, 0.02786203282965068, 0.08256984065870865, 0.14331241190536903, 0.08710858691777133, 0.052851379362827175, 0.023842646377028816, 0.03563442738850188, 0.0397102561146875, 0.05736105310574381, 0.07614382868474903, 0.07797275814346805, 0.040982716823246175, 0.03568277677785239, 0.08059841581361323, 0.10566306149727901, 0.04279903581640326, 0.05532627495339372, 0.020062206568657905, 0.08870780672059927, 0.06739916954748036, 0.04745498630249036, 0.018489789285438433, 0.029868908187827756, 0.03770148252642635, 0.049681915388576116, 0.10077090542398039, 0.12479722769801527, 0.09895691773126156, 0.038065900969719936, 0.05771710227707776, 0.03279120786603771, 0.034577775258071416, 0.03528790217460983, 0.028272671782760255, 0.015298027786174522, 0.033111865897246344, 0.060234936188140145, 0.08316299020868644, 0.1317249050611296, 0.06999771077377506]"
GN,7,"[0.06298467012244212, 0.024156643047423546, 0.029741413275202244, 0.03981302632109243, 0.02626417525088166, 0.062304061478962836, 0.0325395730633304, 0.039755583543632976, 0.0783525615335893, 0.05987534267402334, 0.057474418731701914, 0.028446733898794423, 0.027464126784871333, 0.03836713182355139, 0.043775360478341706, 0.04773227165635302, 0.034848377918213665, 0.028415033504053937, 0.088240117694264, 0.1272865789373274, 0.02703595057332558, 0.011742264921142652, 0.05988398441239159, 0.043258575806058554, 0.044607423932284354, 0.04556185743240986, 0.06560199616150274, 0.05507598051940141, 0.02935908021215797, 0.020387831541435537, 0.06243262279423742, 0.07985777883139596, 0.02384726326415931, 0.06227176897212424, 0.01210355546124972, 0.03834473278089165, 0.03359756522644542, 0.049855726268491066, 0.029829402324335334, 0.05852834800943575, 0.046494222746856176, 0.01355039104861137, 0.08577061267216897, 0.23052690302492185, 0.13132646025320083, 0.0360526626578705, 0.02491555382243843, 0.012970674360671857, 0.0354726298341733, 0.042117517615482596, 0.04859154388598259, 0.015720959779180425, 0.01922386741663123, 0.03347999423708269, 0.040190012919646446, 0.03404640332866534, 0.032949392208055546]"
GN,8,"[0.04416411716971262, 0.06450555150154966, 0.0022922272033850193, 0.025411432350326543, 0.028762147916923667, 0.044506530752266876, 0.03471167505149646, 0.023119868057704236, 0.04941023593752934, 0.0608457514846453, 0.062000575689604605, 0.08637881389736589, 0.043845814329373935, 0.03598890706128654, 0.01702615676313106, 0.029180574756524708, 0.03593670248590038, 0.021637025024194383, 0.06090683632575485, 0.06904451991011464, 0.04997445374201893, 0.03701555945319472, 0.03859462356556163, 0.020628122060890434, 0.05619836616555425, 0.05387116317283579, 0.037554997952856065, 0.03317112943446905, 0.006487328906672938, 0.009961827132955976, 0.02761714920435477, 0.06715072001990281, 0.07391565817975587, 0.02722741578360306, 0.04956027371388276, 0.06231644477042166, 0.04946841210854126, 0.03182208023738431, 0.035171786902741614, 0.01347904320036233, 0.04602066792256165, 0.027077302047172146, 0.08863188265193918, 0.1050177898951283, 0.08250168718004249, 0.040401697157412084, 0.01822081632179429, 0.07264242829987455, 0.08468733967903472, 0.015761216354265615, 0.010793090701183469, 0.025016709792967363, 0.04210019316433814, 0.01760551932312315, 0.03772975117874487, 0.03836091492030276, 0.025791161593513034]"
GN,9,"[0.03509250425485574, 0.04179147386873238, 0.018913876193985685, 0.021904258838699942, 0.03290386744690371, 0.014014575603183633, 0.06307069074209923, 0.07760814071474474, 0.013511782341675257, 0.04506349206407251, 0.06776627443769076, 0.04206824117348195, 0.03229077718538673, 0.02893464497715526, 0.029530610484266948, 0.07610086546270403, 0.01382442712763073, 0.023404422905374873, 0.10347713160926975, 0.13985689164209034, 0.10095426858052935, 0.08177211534403232, 0.056961070831036124, 0.050400187232467, 0.07797924975464654, 0.06400939248817557, 0.03547250570402487, 0.07129375224264166, 0.08220962424269339, 0.02058755110469612, 0.06226156638726485, 0.11889099662926488, 0.05086698497144461, 0.030320290579051216, 0.04340226605392874, 0.0328837206591567, 0.06869191864893077, 0.05216389372521689, 0.011599335461188014, 0.0343562191352466, 0.039019987911678176, 0.025984896449074254, 0.24941526885756274, 0.37722618868786373, 0.26704078365345724, 0.052899611363408816, 0.030016132557479393, 0.034619213905729654, 0.06604676274992756, 0.06538246708810469, 0.04006162150992112, 0.05740695018120995, 0.037759465618447945, 0.017243079425937065, 0.05511998975367936, 0.0933904596411394, 0.05446215985248448]"
GN,10,"[0.08155540061633128, 0.07297907069251577, 0.03662563227866353, 0.00648013118645268, 0.007850424769019069, 0.038985156991498494, 0.1124590276851981, 0.11302747236147126, 0.03810580064129008, 0.0453357089122624, 0.07260842435552185, 0.053485565505113644, 0.03410597986050033, 0.03113020707947609, 0.045181040134191545, 0.02344663116733853, 0.017061111251124986, 0.03569801715198543, 0.07020180713126205, 0.11519773032560054, 0.09368786770227693, 0.08477257993057734, 0.07981606287354141, 0.06046132918635293, 0.06371352752035457, 0.03651735765243922, 0.03576576366515007, 0.05344386317770223, 0.08846177613855788, 0.038755848219585415, 0.08875779745354735, 0.13841921968530144, 0.05368381880431936, 0.05448397046158539, 0.056669787443932196, 0.05683421119749472, 0.07000576066617138, 0.02714360995131214, 0.03285944384187991, 0.0593234665580586, 0.07019388895001416, 0.038255658515406084, 0.2507853204559066, 0.37553630337747146, 0.2791391419299593, 0.055776434225319964, 0.05014591605222268, 0.05087466850575943, 0.08213376409703138, 0.0521063625725528, 0.0343752266769321, 0.030608663218738116, 0.016357909168953865, 0.028461594668360884, 0.08778637114033257, 0.1399773907121603, 0.07479898392810069]"
